test_case_id,profile_id,message,risk_level,expected_intent,actual_intent,response_options,recommended_option,contextual_basis_items,latency_ms,status,failed_checks
"gratitude-001","supportive-friend","Thank you for being there for me.","low","gratitude","gratitude","4","Receive it warmly","3","2.141","pass",""
"gratitude-002","practical-neighbour","Thanks, I really appreciate your help.","low","gratitude","gratitude","4","Keep it simple","2","0.563","pass",""
"check-in-001","supportive-friend","How are you after yesterday?","low","check_in","check_in","4","Open up","2","0.187","pass",""
"check-in-002","developing-colleague","Are you okay?","low","check_in","check_in","4","Keep it private","2","0.098","pass",""
"support-001","supportive-friend","I’m here for you if you need to talk.","moderate","support_offer","support_offer","4","Accept support","3","0.926","pass",""
"support-002","developing-colleague","Let me know if I can help.","low","support_offer","support_offer","4","Appreciate the offer","2","0.171","pass",""
"distress-001","supportive-friend","I’m overwhelmed and don’t know what to do.","elevated","distress","distress","4","Ask what helps","3","0.285","pass",""
"distress-002","developing-colleague","I feel anxious and exhausted.","moderate","distress","distress","4","Acknowledge the difficulty","2","0.498","pass",""
"conflict-001","strained-relative","I felt dismissed when you changed the plan.","moderate","conflict","conflict","4","Clarify the concern","2","0.238","pass",""
"conflict-002","supportive-friend","I feel hurt because you ignored my question.","moderate","conflict","conflict","4","Pause before replying","2","0.137","pass",""
"boundary-001","developing-colleague","Please don’t call me after work.","moderate","boundary","boundary","4","Acknowledge and pause","3","0.398","pass",""
"boundary-002","strained-relative","I need space.","moderate","boundary","boundary","4","Confirm your own limit","2","0.068","pass",""
"celebration-001","supportive-friend","Good news — I got approved!","low","celebration","celebration","4","Celebrate fully","3","0.307","pass",""
"celebration-002","strained-relative","We did it — I passed!","low","celebration","celebration","4","Celebrate fully","2","0.092","pass",""
"decision-001","supportive-friend","I’ve decided to accept the new role.","moderate","decision","decision","4","Ask for reasoning","2","0.156","pass",""
"decision-002","developing-colleague","I propose that we delay the launch.","moderate","decision","decision","4","Request time","3","0.149","pass",""
"update-001","developing-colleague","Just letting you know, the deadline has moved.","low","update","update","4","Confirm implications","4","0.216","pass",""
"update-002","practical-neighbour","FYI, the meeting time has changed.","low","update","update","4","State your constraint","4","0.103","pass",""
"apology-001","strained-relative","I’m sorry I broke your confidence.","moderate","apology","apology","4","Ask about repair","2","0.096","pass",""
"apology-002","supportive-friend","I apologise for sharing that without asking.","moderate","apology","apology","4","Take time","2","0.034","pass",""
"request-001","developing-colleague","Could you send me the notes?","low","request","request","4","Clarify the request","4","0.107","pass",""
"request-002","practical-neighbour","Can you help me move?","low","request","request","4","Decline","3","0.079","pass",""
"invitation-001","supportive-friend","Would you like to get coffee?","low","invitation","invitation","4","Accept","3","0.139","pass",""
"invitation-002","developing-colleague","Can we meet on Tuesday?","low","invitation","invitation","4","Ask for detail","3","0.039","pass",""
"emotional-affection-001","supportive-friend","I miss you.","moderate","emotional_affection","emotional_affection","4","Reciprocate","2","0.102","pass",""
"emotional-affection-002","developing-colleague","I care about you.","moderate","emotional_affection","emotional_affection","4","Receive it warmly","2","0.042","pass",""
"physical-affection-001","supportive-friend","I want to hug you.","moderate","physical_affection","physical_affection","4","Welcome it","2","0.157","pass",""
"physical-affection-002","developing-colleague","Can I kiss you?","moderate","physical_affection","physical_affection","4","Set a boundary","2","0.056","pass",""
